"REF_DATE","GEO","DGUID","Index","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981-01","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","33.4","","","","1"
"1981-02","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","34.2","","","","1"
"1981-03","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","34.2","","","","1"
"1981-04","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","34.2","","","","1"
"1981-05","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","34.2","","","","1"
"1981-06","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","34.2","","","","1"
"1981-07","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","34.2","","","","1"
"1981-08","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","34.2","","","","1"
"1981-09","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","34.2","","","","1"
"1981-10","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","34.2","","","","1"
"1981-11","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","34.2","","","","1"
"1981-12","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","34.2","","","","1"
"1982-01","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","37.5","","","","1"
"1982-02","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","37.5","","","","1"
"1982-03","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","37.5","","","","1"
"1982-04","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","41.5","","","","1"
"1982-05","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","41.5","","","","1"
"1982-06","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","41.5","","","","1"
"1982-07","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","41.5","","","","1"
"1982-08","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","41.5","","","","1"
"1982-09","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","41.5","","","","1"
"1982-10","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","41.5","","","","1"
"1982-11","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","41.5","","","","1"
"1982-12","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","41.5","","","","1"
"1983-01","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","41.5","","","","1"
"1983-02","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","41.5","","","","1"
"1983-03","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","41.5","","","","1"
"1983-04","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","43.9","","","","1"
"1983-05","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","43.9","","","","1"
"1983-06","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","43.9","","","","1"
"1983-07","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","43.9","","","","1"
"1983-08","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","43.9","","","","1"
"1983-09","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","43.9","","","","1"
"1983-10","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","43.9","","","","1"
"1983-11","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","43.9","","","","1"
"1983-12","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","43.9","","","","1"
"1984-01","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","44.9","","","","1"
"1984-02","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","44.9","","","","1"
"1984-03","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","44.9","","","","1"
"1984-04","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","47.8","","","","1"
"1984-05","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","47.8","","","","1"
"1984-06","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","47.8","","","","1"
"1984-07","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","47.8","","","","1"
"1984-08","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","47.8","","","","1"
"1984-09","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","47.8","","","","1"
"1984-10","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","47.8","","","","1"
"1984-11","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","47.8","","","","1"
"1984-12","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","47.8","","","","1"
"1985-01","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","47.8","","","","1"
"1985-02","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","47.8","","","","1"
"1985-03","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","47.8","","","","1"
"1985-04","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","47.8","","","","1"
"1985-05","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","48.7","","","","1"
"1985-06","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","48.7","","","","1"
"1985-07","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","48.7","","","","1"
"1985-08","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","48.7","","","","1"
"1985-09","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","48.7","","","","1"
"1985-10","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","48.7","","","","1"
"1985-11","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","48.7","","","","1"
"1985-12","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","48.7","","","","1"
"1986-01","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","48.7","","","","1"
"1986-02","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","48.7","","","","1"
"1986-03","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","48.7","","","","1"
"1986-04","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","49.6","","","","1"
"1986-05","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","49.6","","","","1"
"1986-06","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","49.6","","","","1"
"1986-07","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","49.6","","","","1"
"1986-08","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","49.6","","","","1"
"1986-09","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","49.6","","","","1"
